Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2276,00:01:31.040,3.64015625,1.8308680555555557,2.5044270833333333,6.585173611111111
2277,00:01:31.080,5.84353587962963,3.141111111111111,4.136354166666667,10.253142361111111
2278,00:01:31.120,3.863136574074074,2.0867881944444444,2.6128993055555556,6.889722222222222
2279,00:01:31.160,3.4548958333333335,1.7690625,2.3035243055555554,6.292100694444445
2280,00:01:31.200,3.564699074074074,1.8767534722222223,2.3669444444444445,6.450399305555556
2281,00:01:31.240,3.2414641203703702,1.6457638888888888,2.2090625,5.869565972222222
2282,00:01:31.280,8.364681712962962,5.7271527777777775,4.171059027777778,15.195833333333333
2283,00:01:31.320,4.398263888888889,2.754722222222222,2.362326388888889,8.077743055555555
2284,00:01:31.360,3.6867245370370374,2.082795138888889,2.1536979166666668,6.823680555555556
2285,00:01:31.400,3.3792766203703697,1.731892361111111,1.9464930555555555,6.459444444444444
2286,00:01:31.440,3.4523148148148146,1.81171875,2.0692013888888887,6.476024305555556
2287,00:01:31.480,5.547106481481482,2.8906770833333333,3.7775173611111112,9.973125
2288,00:01:31.520,3.568495370370371,1.8103819444444444,2.2968229166666667,6.59828125
2289,00:01:31.560,4.085578703703703,2.265364583333333,2.8712673611111112,7.120104166666667
2290,00:01:31.600,4.478871527777778,2.690659722222222,2.8636631944444444,7.882291666666666
2291,00:01:31.640,3.9177083333333336,2.0907291666666667,2.6280208333333333,7.034375
2292,00:01:31.680,5.358593750000001,2.6857118055555556,3.8807465277777777,9.509322916666667
2293,00:01:31.720,3.662748842592593,2.0108506944444446,2.4221875,6.555208333333334
2294,00:01:31.760,3.643663194444444,1.9827777777777778,2.350607638888889,6.597604166666667
2295,00:01:31.800,3.3354513888888886,1.7032291666666666,2.2740625,6.0290625
2296,00:01:31.840,3.9826620370370374,2.069826388888889,2.6897743055555554,7.188385416666667
2297,00:01:31.880,5.823333333333333,2.6612673611111113,4.870399305555556,9.938333333333333
2298,00:01:31.920,3.6717997685185186,1.7732291666666666,2.5691840277777778,6.672986111111111
2299,00:01:31.960,3.466903935185185,1.6433159722222221,2.4780208333333333,6.279375
2300,00:01:32.000,3.957413194444445,1.9566840277777777,2.6727430555555554,7.2428125
2301,00:01:32.040,3.9123206018518526,1.9555381944444445,2.5904861111111113,7.1909375
2302,00:01:32.080,7.969374999999999,3.4453993055555556,5.960729166666667,14.501996527777777
2303,00:01:32.120,8.952679398148149,4.020885416666666,6.251614583333334,16.585538194444446
2304,00:01:32.160,10.487945601851852,5.124826388888889,7.281145833333333,19.057864583333334
2305,00:01:32.200,12.230931712962963,6.997256944444445,9.060833333333333,20.63470486111111
2306,00:01:32.240,12.83814814814815,8.266875,8.784479166666667,21.463090277777777
2307,00:01:32.280,25.97923611111111,19.270885416666665,16.859114583333334,41.80770833333333
2308,00:01:32.320,25.054265046296297,17.30784722222222,15.14515625,42.70979166666667
2309,00:01:32.360,26.547332175925927,19.033559027777777,15.1965625,45.411875
2310,00:01:32.400,26.15004050925926,19.221805555555555,14.115850694444445,45.11246527777778
2311,00:01:32.440,21.443842592592592,12.859722222222222,13.275746527777779,38.19605902777778
2312,00:01:32.480,27.33657407407407,17.209756944444443,15.928333333333333,48.871631944444445
2313,00:01:32.520,26.556255787037042,17.414739583333333,14.733645833333334,47.520381944444445
2314,00:01:32.560,29.184548611111108,17.101979166666666,17.49262152777778,52.95904513888889
2315,00:01:32.600,34.449901620370376,18.949131944444446,22.954791666666665,61.44578125
2316,00:01:32.640,21.870561342592595,12.49404513888889,15.23435763888889,37.88328125
2317,00:01:32.680,27.894259259259258,14.375069444444444,20.262100694444445,49.04560763888889
2318,00:01:32.720,20.15802083333333,12.1896875,12.882586805555556,35.40178819444444
2319,00:01:32.760,20.88774884259259,13.198454861111111,13.394600694444444,36.07019097222222
2320,00:01:32.800,18.22420138888889,11.307274305555556,11.693177083333333,31.67215277777778
2321,00:01:32.840,15.956736111111113,9.641770833333334,10.271909722222222,27.95652777777778
2322,00:01:32.880,21.526180555555555,14.650659722222223,12.103663194444444,37.82421875
2323,00:01:32.920,13.32353587962963,8.281996527777778,7.55953125,24.129079861111112
2324,00:01:32.960,13.610011574074074,8.696371527777778,7.050451388888889,25.083211805555557
2325,00:01:33.000,12.347418981481482,7.395295138888889,7.140659722222222,22.506302083333335
2326,00:01:33.040,11.508524305555556,6.869357638888889,6.9302777777777775,20.7259375
2327,00:01:33.080,15.91134259259259,9.689496527777777,9.59359375,28.4509375
2328,00:01:33.120,10.898431712962962,6.828072916666667,5.886180555555556,19.981041666666666
2329,00:01:33.160,11.17691550925926,7.224513888888889,5.834236111111111,20.471996527777776
2330,00:01:33.200,11.357621527777779,7.778697916666666,5.789149305555555,20.50501736111111
2331,00:01:33.240,10.888726851851851,7.335642361111111,5.22390625,20.106631944444445
2332,00:01:33.280,13.500995370370369,8.564288194444444,7.503975694444445,24.434722222222224
2333,00:01:33.320,10.03431712962963,6.727413194444445,4.954861111111111,18.420677083333334
2334,00:01:33.360,9.744861111111112,6.414270833333333,4.767934027777778,18.052378472222223
2335,00:01:33.400,10.04421875,6.796788194444445,4.953819444444444,18.38204861111111
2336,00:01:33.440,10.10409722222222,7.2258506944444445,5.1524826388888885,17.933958333333333
2337,00:01:33.480,14.800891203703705,10.208368055555555,7.947222222222222,26.247083333333332
2338,00:01:33.520,9.964832175925926,7.024079861111111,5.140677083333333,17.729739583333334
2339,00:01:33.560,9.91335648148148,6.9436631944444445,5.357291666666667,17.439114583333332
2340,00:01:33.600,10.356197916666666,7.602204861111111,5.4376388888888885,18.02875
2341,00:01:33.640,9.333715277777777,6.491736111111111,5.086180555555556,16.423229166666665
2342,00:01:33.680,13.223686342592593,8.82654513888889,8.543940972222222,22.300572916666667
2343,00:01:33.720,8.863414351851851,6.53921875,4.636111111111111,15.414913194444445
2344,00:01:33.760,8.197251157407408,5.990555555555556,4.058090277777778,14.54310763888889
2345,00:01:33.800,7.950185185185185,5.624045138888889,4.074652777777778,14.151857638888888
2346,00:01:33.840,8.025931712962963,5.903298611111111,4.202795138888889,13.971701388888889
2347,00:01:33.880,11.873692129629632,8.532690972222222,6.497517361111111,20.590868055555557
2348,00:01:33.920,7.6959375,5.953802083333334,3.8817013888888887,13.252309027777779
2349,00:01:33.960,7.841464120370371,6.194270833333333,3.9642708333333334,13.365850694444445
2350,00:01:34.000,7.373223379629629,5.806996527777778,3.620815972222222,12.691857638888889
2351,00:01:34.040,7.676736111111111,5.9992881944444445,3.7697569444444445,13.261163194444444
2352,00:01:34.080,10.944409722222224,8.15420138888889,6.2926215277777775,18.38640625
2353,00:01:34.120,7.3084085648148145,5.6965625,3.5100694444444445,12.71859375
2354,00:01:34.160,6.237436342592592,4.72953125,3.5052430555555554,10.477534722222222
2355,00:01:34.200,10.460810185185185,7.370190972222222,6.487864583333334,17.524375
2356,00:01:34.240,5.892760416666667,4.411701388888889,3.1514583333333333,10.115121527777777
2357,00:01:34.280,15.387731481481481,11.348541666666666,9.016875,25.797777777777778
2358,00:01:34.320,12.97222800925926,9.638802083333333,7.1554166666666665,22.122465277777778
2359,00:01:34.360,16.38782986111111,10.941805555555556,8.9346875,29.286996527777777
2360,00:01:34.400,19.023547453703703,13.786006944444445,9.548315972222222,33.73631944444445
2361,00:01:34.440,20.018472222222222,13.508177083333333,10.363715277777779,36.18352430555556
2362,00:01:34.480,29.326163194444447,21.519357638888888,15.208350694444444,51.25078125
2363,00:01:34.520,30.000324074074076,22.3903125,16.684114583333333,50.92654513888889
2364,00:01:34.560,32.29302083333334,25.74423611111111,16.88578125,54.24904513888889
2365,00:01:34.600,34.50411458333334,26.200069444444445,16.856440972222224,60.45583333333333
2366,00:01:34.640,33.221741898148146,21.228559027777777,16.395572916666666,62.04109375
2367,00:01:34.680,37.59080439814815,27.90861111111111,18.435069444444444,66.42873263888889
2368,00:01:34.720,42.11498263888889,34.76046875,17.35121527777778,74.23326388888889
2369,00:01:34.760,52.33193287037037,50.70821180555556,19.8403125,86.44727430555555
2370,00:01:34.800,49.515665509259264,47.435399305555556,16.06032986111111,85.05126736111112
2371,00:01:34.840,36.537077546296295,30.61185763888889,13.016111111111112,65.98326388888889
2372,00:01:34.880,44.751047453703706,34.657239583333336,18.07611111111111,81.51979166666666
2373,00:01:34.920,29.921498842592595,20.556006944444444,16.057899305555555,53.15059027777778
2374,00:01:34.960,25.86838541666667,18.061458333333334,15.06467013888889,44.47902777777778
2375,00:01:35.000,22.433587962962964,15.249479166666667,14.17515625,37.87612847222222
2376,00:01:35.040,21.50791087962963,14.289878472222222,14.24001736111111,35.99383680555555
2377,00:01:35.080,23.996956018518517,14.558802083333333,16.970086805555557,40.461979166666666
2378,00:01:35.120,18.127777777777776,10.297569444444445,13.260746527777778,30.82501736111111
